0,1,1,1,5,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
10,78,78,78,5,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
10,78,78,78,5,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
10,78,78,78,1,1,1,1,1,1,1,1,1,1,1,1,5,78,78,78,78,78,78,78,78,78,78,78,78,78
10,78,78,78,78,78,78,77,78,78,78,78,78,78,89,78,5,78,78,78,78,78,78,78,78,78,78,78,78,78
10,78,78,78,78,86,78,78,78,78,78,78,78,78,78,78,5,78,78,78,78,78,78,78,78,78,78,78,78,78
40,41,41,41,41,41,41,41,41,41,41,41,41,41,66,67,5,78,78,78,78,78,78,78,78,78,78,78,78,78
78,78,78,78,78,78,78,78,78,78,78,78,78,0,78,78,5,78,78,78,78,78,78,78,78,78,78,78,78,78
78,78,78,78,78,78,78,78,78,78,78,78,78,0,78,78,5,78,78,78,78,78,78,78,78,78,78,78,78,78
0,1,1,1,1,1,1,1,1,1,1,1,1,1,78,78,1,1,1,1,1,1,1,1,1,1,1,1,1,5
0,78,78,78,86,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,5
0,78,89,78,78,78,74,78,78,78,78,78,78,78,78,78,78,78,78,78,78,0,78,78,78,78,78,86,78,5
0,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,0,78,78,78,78,78,78,78,5
40,41,41,41,41,41,41,41,41,41,41,41,41,41,78,78,78,78,78,78,78,0,44,44,44,44,44,44,44,5
0,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,0,78,78,78,78,78,78,78,5
0,78,78,74,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,0,78,77,78,78,78,78,78,5
0,78,78,78,78,78,78,78,78,78,78,78,78,78,0,78,78,78,78,78,78,0,78,78,78,78,78,78,78,5
0,78,78,78,86,78,78,78,78,78,78,78,78,78,0,78,78,78,78,78,78,78,78,78,78,78,84,78,78,5
0,78,78,78,78,78,78,78,78,78,78,78,78,77,0,78,78,78,78,78,78,78,78,78,78,78,78,78,78,5
40,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45
